"Open","High","Low","Close","Volume","Adjusted","dates","ticker"
177.910004,178.25,176.130005,176.669998,23788500,175.376297,"2018-03-06","AAPL"
174.940002,175.850006,174.270004,175.029999,31703500,173.748306,"2018-03-07","AAPL"
175.479996,177.119995,175.070007,176.940002,23774100,175.644318,"2018-03-08","AAPL"
177.960007,180,177.389999,179.979996,32185200,178.662048,"2018-03-09","AAPL"
180.289993,182.389999,180.210007,181.720001,32207100,180.389313,"2018-03-12","AAPL"
182.589996,183.5,179.240005,179.970001,31693500,178.65213,"2018-03-13","AAPL"
180.320007,180.520004,177.809998,178.440002,29368400,177.133331,"2018-03-14","AAPL"
178.5,180.240005,178.070007,178.649994,22743800,177.341782,"2018-03-15","AAPL"
178.649994,179.119995,177.619995,178.020004,39404700,176.716415,"2018-03-16","AAPL"
177.320007,177.470001,173.660004,175.300003,33446800,174.016342,"2018-03-19","AAPL"
